n
"(:Genre {name: Ficção Científica, id: G1})"
"(:Genre {name: Ação, id: G2})"
"(:Genre {name: Drama, id: G3})"
"(:Genre {name: Terror, id: G4})"
"(:Director {name: Steven Spielbergn, id: D1})"
"(:Director {name: Quentin Tarantino, id: D2})"
"(:Director {name: Alfred Hitchcock, id: D3})"
"(:Actor {name: Leonardo DiCaprio, id: A1})"
"(:Actor {name: Tom Hanks, id: A2})"
"(:Actor {name: Al Pacino, id: A3})"
"(:Actor {name: Will Smith, id: A4})"
"(:Movie {id: M1, title: A Origem})"
"(:Movie {id: M2, title: O Poderoso Chefão})"
"(:Movie {id: M3, title: O Mágico de Oz})"
"(:Movie {id: M4, title: Batman: O Cavaleiro das Trevas})"
"(:Movie {id: M5, title: Matriz})"
"(:Movie {id: M6, title: Um Sonho de Liberdade})"
"(:Movie {id: M7, title: Seven - Os Sete Crimes Capitais})"
"(:Movie {id: M8, title: De Volta para o Futuro})"
"(:Movie {id: M9, title: Tubarão})"
"(:Movie {id: M10, title: Clube da Luta})"
"(:Series {id: S1, title: Friends})"
"(:Series {id: S2, title: Lost})"
"(:User {name: Victor, id: U1})"
"(:User {name: Aline, id: U2})"
